metadataAddress,mintAddress,updateAuthorityAddress,editionNonce,tokenStandard,name,symbol,uri
9Yn9tZNGR79ygY4zJoNww7Q2vjMThsyZV1QhBsc7YjM2,Cib2ukdRUuqVV3iDhZxztwazorhGRomi3SC2dyY32dve,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #275349042,,https://api.stepn.com/run/nftjson/103/188812477349
7AXUssbVZhqFfBW7TwWVPBEQY6yXvrE8dMtiP4V9DiVS,XdqXTaehCHcB9p2iVdmhXebBVJBPGCWfAATM2bkv8wd,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #725693264,,https://api.stepn.com/run/nftjson/103/21633140021
AxXtuf1Rydey4mQjzut1E86qUQP9Lv7c9nHKP8itz3gm,Bv4fzfCE4pUGfcoY8N8QnVqEiTPWNGJSmu7MzWUAvtcj,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #343089723,,https://api.stepn.io/run/nftjson/103/195161701093
5BaQvibv1R7amZsW3GZbSt5AHiF9mXHy85TiFbeUK5ZD,BsyPXdraXeF6mDr95NntULqsqXjHsFpf2j2NHtMMKQzK,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #735584385,,https://api.stepn.com/run/nftjson/103/179571361211
FuDqo6Mg6di8yW22KZSaV6YoDgGBXRhAb84NvA2QcwCG,8q3E9GxEPMEmv8X4ZnBgEcN3w1EWfSkoZVJfiEuWRwRZ,GH4QhJznKEHHv44AqEH5SUohkUauWyAFtu5u8zUWUKL4,255,,STEPN Shoebox #457,,https://api.stepn.io/run/nftjson/103/235923696
Atfzn1dcBL6P81EqrsVBKavQq5K4FBQaigM9eDQ8rFe4,DLp7a3urJWnns89FFzK47BWBHaSNtSVby3mUpJs3aVpG,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #911054710,,https://api.stepn.com/run/nftjson/103/186736692023
DywafyTmDTs34o5AHN5FqjpRJiduYh8TVz4KzFg9Cr9A,EidW1Cnm8cJfBgkJPz6xb1cpM7FgxhxaRMRvRRb4YZ7L,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #339687911,,https://api.stepn.io/run/nftjson/103/173348022759
9iQfZhXUfARMu9unp8wufHkd5i1RYvFwqbzECWaqFLf,FNHVzjHVLEgPZxTFQmLfDABFptrCe1BtLnYXBc41KWHP,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #289175934,,https://api.stepn.com/run/nftjson/103/77129326171
AqM438vHTbNHWS74qmFPFHAuUr9FRphNCpd7vZfxVX49,9uAijAv2jUn3tp8d1CRvSJK74diffmNtMAAAg15yD9k,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #112145580,,https://api.stepn.io/run/nftjson/103/192173703865
AembaCgjVypVmvtrehGmukJ5BJE8tJhgbSXMKaecfFqV,6zq8CsS5QcQHweSRjmbYSiqyxNXzvLZy5357AWjeGcW5,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #499806888,,https://api.stepn.com/run/nftjson/103/193696339187
4czkudczPawUgSvYs8rvJKusXZxduVUM5pomNjiMsX3j,69dgpBfKB5BJQYs4S8REqnxBTF15ECxmhYR5ByqkBrgM,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #283707926,,https://api.stepn.com/run/nftjson/103/72603457737
FJM3sLSwGEt8GY5gZHEhBn9XovsEzjtU7qQSbUFvGtZq,2TU6gEcmVfk8eqYUY5fFp1U4xH7CAcQ8VxvHXZwy94BV,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,253,NonFungible,Sneaker #233286604,,https://api.stepn.com/run/nftjson/103/199928201907
AB6NFYse6edrVRRH1KYrDQvFgLdnrMtXHDZJfuVKFiGi,DPeRz91yhuM3H8Fy7aGitwZvdg6L9a7CeyNZPpxoac8n,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #370778384,,https://api.stepn.io/run/nftjson/103/379283793
HbhpaPdYwvQgaigCUx2H6q9XB3DBx1JW7wKabzLu7L81,FEkKZZ8FNxuksJsENHaseXMqfa6wTTmLFN4rxBUweNSm,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #188959159,,https://api.stepn.io/run/nftjson/103/47439119009
5yuffhEFErevFD6rsbRFtq8XbQcy9rFRn994kSdHmbx5,G3uZLZkTZez7EYLqAJKHepqprc7gBJ4LgLGR8ddZXQUa,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,254,NonFungible,Sneaker #312647536,,https://api.stepn.io/run/nftjson/103/280050337
7xqXgT9NxShSZTNmE7FRYgdcHQJccgxLErcpyGa1LES4,PqGygQ12ZUAaQyNaYiGCymrA1LXR8AnT94QUGksCv1A,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,252,,STEPN Shoebox #203594384,,https://api.stepn.io/run/nftjson/103/203594384
CuWA6rrAeWaJGfm9kgSbo56QhqCLvJjx6gdYN2cRfLRg,2WcK8Tnv3JeL654RvB4HZaUjygTv5HAYvmsSmGtUVLNm,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #610062780,,https://api.stepn.com/run/nftjson/103/125221222311
CQv9xpVy9PvYCLpAQJJRVd7Zwt3dZP7eX4BH3orQaeRr,3SYriLSRVRmsRoSXFsv6PMURiiyKnZThVbs2gur6Ljvk,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,250,NonFungible,Sneaker #210391834,,https://api.stepn.com/run/nftjson/103/68066437819
9grBccmdmpJj84gmMsaQUETvXkwJ2xiRnADUbcYoPZEj,Gc6CnRqdwxLhXAo4Dc2oCzBHudmqfXHX8XmUtpeNSBaw,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #380304500,,https://api.stepn.com/run/nftjson/103/192803061489
8wmRhiQFWaxcD6Rx8k89WswvNXbrocf4qpmGXxNfFwTN,C2E7xQTHZ7QbU93TmQyg1RSrwr3fuQkhYhD2NSohtt2U,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,STEPN Shoebox #297285625,,https://api.stepn.io/run/nftjson/103/181015774858
Gz5fPhtEYcQpMHuVREVeqNUUtnf9VkYuysRzLrHss9eU,3oC531X8JBBsPs7mkQofvxNyB2EpCUiHU7YUQdTHadao,STEPNq2UGeGSzCyGVr2nMQAzf8xuejwqebd84wcksCK,255,NonFungible,Sneaker #919010883,,https://api.stepn.com/run/nftjson/103/154394977975
